System,3wrobotNI
Controller,lqr
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,10
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[10, 10, 10, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quadratic
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,204.649,20.4649,0.0,0.0
0.0011,-3.0,-3.0,1.57,204.649,40.9298,0.0,0.0
0.0111,-3.0,-3.0,1.57,204.649,61.3947,0.0,0.0
0.0611,-3.0,-3.0,1.57,204.649,81.8596,0.0,0.0
0.1111,-3.0,-3.0,1.57,1731.9796384940182,255.05756384940184,11.711646096066126,5.580395966219764
0.16110000000000002,-3.0062008533606512,-2.8990495440982724,1.6990572916666666,1730.6159135965022,428.1191552090521,11.711646096066126,5.580395966219764
0.2111,-3.0279565112443665,-2.791316666212927,1.8410572916666665,1669.5251149176088,595.071666700813,11.820785017991039,3.7073148595540824
0.2611,-3.0647399056616047,-2.687747059075708,1.9830572916666664,1671.5218134045383,762.2238480412668,11.820785017991039,3.7073148595540824
0.3111,-3.115810581713803,-2.590425593432288,2.1250572916666663,1705.369340251138,932.7607820663807,12.163756945136681,1.8141125519981205
0.3611,-3.1783941222666714,-2.4998117907945963,2.220438187584289,1708.8407912675702,1103.6448611931378,12.163756945136681,1.8141125519981205
0.41109999999999997,-3.248811924762135,-2.4153544684767767,2.311143815184195,1826.6967115479458,1286.3145323479323,12.682978498497874,0.40404379986246647
0.46109999999999995,-3.3245756982011136,-2.3351841770717168,2.3377720997508535,1829.1063639375209,1469.2251687416845,12.682978498497874,0.40404379986246647
0.5111,-3.401706202123613,-2.2567592203251,2.357974289743977,1986.5845830317398,1667.8836270448585,13.279859720688352,-0.3979298602287471
0.5611,-3.479208449009052,-2.17856054268086,2.341732624610559,1987.6857744293911,1866.6522044877977,13.279859720688352,-0.3979298602287471
0.6111000000000001,-3.555067298960545,-2.0989048101818755,2.3218361315991216,2154.3043826187486,2082.0826427496727,13.878563351041254,-0.8730288067034462
0.6611000000000001,-3.6285540412769546,-2.017017554351828,2.2803498557335606,2154.3037004710727,2297.51301279678,13.878563351041254,-0.8730288067034462
0.7111000000000002,-3.6983746410886136,-1.9320283630567572,2.236698415398388,2315.8034436547096,2529.093357162251,14.438018309031868,-1.1920094719277632
0.7611000000000002,-3.763850045582511,-1.8436378290947892,2.1785516297294545,2314.784707964199,2760.571827958671,14.438018309031868,-1.1920094719277632
0.8111000000000003,-3.8239355024184922,-1.7515174921292742,2.118951156133066,2460.6350901260053,3006.6353369712715,14.928193099502803,-1.4368782429895517
0.8611000000000003,-3.877949112959959,-1.6557083601237113,2.048223182393375,2458.583364600156,3252.493673431287,14.928193099502803,-1.4368782429895517
0.9111000000000004,-3.9249420646074733,-1.5562776866360426,1.9763792702438976,2578.6116878931875,3510.354842220606,15.322510802748692,-1.6423069266566117
0.9611000000000004,-3.9642451322158707,-1.4535648551881248,1.8952001223392372,2575.477970812725,3767.9026393018785,15.322510802748692,-1.6423069266566117
1.0111000000000003,-3.9949891823114965,-1.3479807380561453,1.8130847760064066,2659.506129825518,4033.8532522844303,15.59596648694837,-1.8177872695080088
1.0611000000000004,-4.016582123515688,-1.2401545795390514,1.7229951276351465,2655.2597348656127,4299.379225770992,15.59596648694837,-1.8177872695080088
1.1111000000000004,-4.028298750804713,-1.1308184317137213,1.632105764159746,2693.9537069027333,4568.774596461265,15.726003112883454,-1.9588192398541835
1.1611000000000005,-4.029726091716213,-1.0208685262868038,1.534807525990229,2688.6215937768925,4837.636755838954,15.726003112883454,-1.9588192398541835
1.2111000000000005,-4.02039553977065,-0.9113090834094724,1.4368665639975198,2675.0446068167416,5105.141216520628,15.695149909332304,-2.0533289755000177
1.2611000000000006,-4.000188134408357,-0.8032288026839661,1.3346308236531965,2668.737316727955,5372.014948193424,15.695149909332304,-2.0533289755000177
1.3111000000000006,-3.9690108357230116,-0.6977899505288692,1.2319643748781957,2600.1598069128613,5632.03092888471,15.494550086479963,-2.086721954997885
1.3611000000000006,-3.9271227990420923,-0.5961314064756303,1.127780458675492,2593.0784153668446,5891.338770421395,15.494550086479963,-2.086721954997885
1.4111000000000007,-3.874875221959247,-0.499388355391156,1.0234443609255977,2472.343514052191,6138.573121826614,15.127055755334238,-2.0469736222355155
1.4611000000000007,-3.8129088623617915,-0.4085606974989442,0.9209145350681599,2464.761457471724,6385.049267573786,15.127055755334238,-2.0469736222355155
1.5111000000000008,-3.7419870657229697,-0.32453962929168306,0.818565853956384,2300.410617911264,6615.090329364913,14.6082760699349,-1.9295019188441676
1.5611000000000008,-3.6630300849980366,-0.24800937571629875,0.721555405199241,2292.6315881966043,6844.353488184573,14.6082760699349,-1.9295019188441676
1.6111000000000009,-3.5770701587991485,-0.17944182513375231,0.6250803092570325,2097.389580005085,7054.092446185081,13.964459920218342,-1.7403801047612943
1.661100000000001,-3.485126293300597,-0.11911017437423009,0.5371994207516629,2089.694780494595,7263.06192423454,13.964459920218342,-1.7403801047612943
1.711100000000001,-3.3882919211997953,-0.06699999401572201,0.4501804155135981,1877.7375504795752,7450.835679282498,13.227491950417436,-1.4963543702088336
1.761100000000001,-3.287496438023213,-0.022992533515673527,0.37425060055662823,1870.343064976094,7637.8699857801075,13.227491950417436,-1.4963543702088336
