System,3wrobotNI
Controller,Nominal
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,10
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quadratic
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1824.649,182.4649,0.0,0.0
0.0011,-3.0,-3.0,1.57,1824.649,364.9298,0.0,0.0
0.0111,-3.0,-3.0,1.57,1824.649,547.3947000000001,0.0,0.0
0.0611,-3.0,-3.0,1.57,1824.649,729.8596,0.0,0.0
0.1111,-3.0,-3.0,1.57,1839.649,913.8245,1.0,-1.0
0.16110000000000002,-2.9989437270453525,-2.954502970472974,1.5245572916666668,1810.5178774075696,1094.8762877407569,1.0,-1.0
0.2111,-2.995385158053458,-2.904634986788075,1.4745572916666667,1777.6668572201033,1272.6429734627673,1.0,-1.0
0.2611,-2.989338675948395,-2.855007179419417,1.4245572916666667,1744.0148061781388,1447.044454080581,1.0,-1.0
0.3111,-2.980819393786479,-2.8057435920397604,1.3745572916666666,1709.6422137453167,1618.0086754551128,1.0,-1.0
0.3611,-2.969848605336358,-2.7569673579615728,1.3245572916666666,1674.631495337466,1785.4718249888595,1.0,-1.0
0.41109999999999997,-2.956453731855682,-2.7088003923678787,1.2745572916666665,1639.066786326983,1949.3785036215577,1.0,-1.0
0.46109999999999995,-2.940668253552237,-2.6613630875877914,1.2245572916666665,1603.0337317482185,2109.6818767963796,1.0,-1.0
0.5111,-2.9225316259008634,-2.61477401217839,1.1745572916666664,1566.619272229495,2266.343804019329,1.0,-1.0
0.5611,-2.9020891810253167,-2.569149614565077,1.1245572916666664,1529.9114266868141,2419.3349466880104,1.0,-1.0
0.6111000000000001,-2.8793920143915663,-2.524603931981159,1.0745572916666664,1490.4423044797443,2568.3791771359847,1.0,-0.699032496718036
0.6611000000000001,-2.8547594394461635,-2.4810881684556456,1.0382340701361201,1453.7675276770096,2713.7559299036857,1.0,-0.699032496718036
0.7111000000000002,-2.8286247855962894,-2.438465106914259,1.0032824453002183,1415.8277270226229,2855.338702605948,1.0,-0.4558387520483064
0.7611000000000002,-2.8012210503735653,-2.396639933518002,0.9793822028718341,1379.7030742312809,2993.309010029076,1.0,-0.4558387520483064
0.8111000000000003,-2.7728736884242178,-2.3554535419673224,0.9565902652694187,1343.3161358906764,3127.6406236181438,1.0,-0.30544999670034534
0.8611000000000003,-2.7437184942283834,-2.314832292212554,0.9406324000128938,1307.958363286051,3258.436459946749,1.0,-0.30544999670034534
0.9111000000000004,-2.7139473071247555,-2.274662305590393,0.9253599001778765,1272.7509019156303,3385.711550138312,1.0,-0.21360404242731412
0.9611000000000004,-2.683640216789708,-2.2348940251141918,0.9142611292544852,1238.2544792255858,3509.5369980608702,1.0,-0.21360404242731412
1.0111000000000003,-2.6529105006245577,-2.1954521592785063,0.9035809271331195,1204.0833718805086,3629.9453352489213,1.0,-0.1577061579338802
1.0611000000000004,-2.6218058054300544,-2.1563049108609786,0.8954408762732393,1170.4941547892522,3746.9947507278466,1.0,-0.1577061579338802
1.1111000000000004,-2.5903935320937546,-2.1174043179335484,0.8875555683765453,1137.308272040016,3860.7255779318484,1.0,-0.12389794088239137
1.1611000000000005,-2.558702133485896,-2.07873061460158,0.8812065974265921,1104.6497617709697,3971.1905541089454,1.0,-0.12389794088239137
1.2111000000000005,-2.5267718167047737,-2.040254038933892,0.8750117003824726,1072.4314553268769,4078.433699641633,1.0,-0.10369653885689945
1.2611000000000006,-2.4946195322134326,-2.001962683778048,0.8697348097585218,1040.7162710279686,4182.50532674443,1.0,-0.10369653885689945
1.3111000000000006,-2.4622691654149826,-1.9638385684767794,0.8645499828156769,1009.4598354333042,4283.451310287761,1.0,-0.09190441382883141
1.3611000000000006,-2.429730703886326,-1.9258748344549999,0.8599010219711126,978.6950469217772,4381.320814979938,1.0,-0.09190441382883141
1.4111000000000007,-2.397018141196983,-1.888061029527154,0.855305801279671,948.3989320236448,4476.160708182303,1.0,-0.08533445020683206
1.4611000000000007,-2.3641372144819397,-1.8503935214033398,0.8510091375288646,918.5886706585245,4568.019575248156,1.0,-0.08533445020683206
1.5111000000000008,-2.3310958727503652,-1.81286665177786,0.846742415018523,889.2527196781119,4656.9448472159675,1.0,-0.08203169630367013
1.5611000000000008,-2.2978972373513846,-1.775478857263839,0.8426257785904996,860.399516625248,4742.984798878492,1.0,-0.08203169630367013
1.6111000000000009,-2.2645455329282944,-1.7382275444375028,0.8385241937753161,832.0240161972617,4826.187200498219,1.0,-0.08079760779119172
1.661100000000001,-2.2310422556139393,-1.7011124933219528,0.8344786892844627,804.1295142229196,4906.600151920511,1.0,-0.08079760779119172
1.711100000000001,-2.19738931180631,-1.6641330940170642,0.8304388088949031,776.714883521868,4984.271640272698,1.0,-0.08089888050972682
1.761100000000001,-2.163587174454278,-1.6272900200153957,0.826394326398733,749.7802260418541,5059.249662876884,1.0,-0.08089888050972682
1.811100000000001,-2.129636285865045,-1.5905839748001658,0.8223493823732466,723.3269232864212,5131.582355205526,1.0,-0.081889099529591
1.861100000000001,-2.095536461810505,-1.5540162497654162,0.8182594401136545,697.3529709676858,5201.317652302295,1.0,-0.081889099529591
1.9111000000000011,-2.061287199155103,-1.517588451109084,0.814164985137175,671.8614694483475,5268.50379924713,1.0,-0.08349944200717796
