System,Sys3WRobotNI
Controller,MPC
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,15
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[105, 105, 10, 10, 5]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quadratic
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1915.5362799999998,191.553628,-0.22000000000000003,-0.284
0.0011,-3.0,-3.0,1.57,1915.5362799999998,383.107256,-0.22000000000000003,-0.284
0.0111,-3.0,-3.0,1.57,1915.5362799999998,574.660884,-0.22000000000000003,-0.284
0.0611,-3.0,-3.0,1.57,1915.5362799999998,766.214512,-0.22000000000000003,-0.284
0.1111,-3.0,-3.0,1.57,1915.5362799999998,957.76814,-0.22000000000000003,-0.284
0.16110000000000002,-3.0,-3.0,1.57,1915.5362799999998,1149.321768,-0.22000000000000003,-0.284
0.2111,-3.0,-3.0,1.57,1915.5362799999998,1340.875396,-0.22000000000000003,-0.284
0.2611,-3.0,-3.0,1.57,1915.5362799999998,1532.429024,-0.22000000000000003,-0.284
0.3111,-3.0,-3.0,1.57,1915.5362799999998,1723.9826520000001,-0.22000000000000003,-0.284
0.3611,-3.0,-3.0,1.57,1915.5362799999998,1915.5362800000003,-0.22000000000000003,-0.284
0.41109999999999997,-3.0,-3.0,1.57,1915.5362799999998,2107.0899080000004,-0.22000000000000003,-0.284
0.46109999999999995,-3.0,-3.0,1.57,1915.5362799999998,2298.6435360000005,-0.22000000000000003,-0.284
0.5111,-3.0,-3.0,1.57,1915.5362799999998,2490.1971640000006,-0.22000000000000003,-0.284
0.5611,-3.0,-3.0,1.57,1915.5362799999998,2681.7507920000007,-0.22000000000000003,-0.284
0.6111000000000001,-3.0,-3.0,1.57,1915.5362799999998,2873.304420000001,-0.22000000000000003,-0.284
0.6611000000000001,-3.0,-3.0,1.57,1915.5362799999998,3064.858048000001,-0.22000000000000003,-0.284
0.7111000000000002,-3.0,-3.0,1.57,1915.5362799999998,3256.411676000001,-0.22000000000000003,-0.284
0.7611000000000002,-3.0,-3.0,1.57,1915.5362799999998,3447.965304000001,-0.22000000000000003,-0.284
0.8111000000000003,-3.0,-3.0,1.57,1915.5362799999998,3639.5189320000013,-0.22000000000000003,-0.284
0.8611000000000003,-3.0,-3.0,1.57,1915.5362799999998,3831.0725600000014,-0.22000000000000003,-0.284
0.9111000000000004,-3.0,-3.0,1.57,1915.5362799999998,4022.6261880000015,-0.22000000000000003,-0.284
0.9611000000000004,-3.0,-3.0,1.57,1915.5362799999998,4214.179816000002,-0.22000000000000003,-0.284
1.0111000000000003,-3.0,-3.0,1.57,1915.5362799999998,4405.733444000001,-0.22000000000000003,-0.284
